ts,portfolio_value,selected_pairs,action_summary
1772647836177,50000.000000,,
1772647907629,50000.000000,,
1772647967659,50000.000000,,
1772648027639,50000.000000,,
1772648087651,50000.000000,,
1772648147657,50000.000000,,
1772648207659,50000.000000,,
1772648267669,50000.000000,,
1772648327683,50000.000000,,
1772648387693,50000.000000,,
1772648447700,50000.000000,,
1772648508073,50000.000000,,
1772648567707,50000.000000,,
1772648627720,50000.000000,,
1772648687726,50000.000000,,
1772648747733,50000.000000,,
1772648807751,50000.000000,,
1772648867760,50000.000000,,
1772648927767,50000.000000,,
1772648987776,50000.000000,,
1772685335121,50000.000000,,
1772685395139,50000.000000,,
1772685455162,50000.000000,,
1772685515154,50000.000000,,
1772685575176,50000.000000,,
1772685635185,50000.000000,,
1772685695183,50000.000000,,
1772685755217,50000.000000,,
1772685815204,50000.000000,,
1772685875239,50000.000000,,
1772685935467,50000.000000,,
1772685995247,50000.000000,,
1772686055248,50000.000000,,
1772686115270,50000.000000,,
1772686175263,50000.000000,,
1772686235295,50000.000000,,
1772686295279,50000.000000,,
1772686355290,50000.000000,,
1772686415290,50000.000000,,
1772686475308,50000.000000,,
1772686535378,50000.000000,,
1772686595343,50000.000000,,
1772686655354,50000.000000,,
1772686715364,50000.000000,,
1772686775397,50000.000000,,
1772686835415,50000.000000,,
1772686895409,50000.000000,,
1772686955420,50000.000000,,
1772687015434,50000.000000,,
1772687075450,50000.000000,,
1772687135513,50000.000000,,
1772687195481,50000.000000,,
1772687255481,50000.000000,,
1772687315491,50000.000000,,
1772687375496,50000.000000,,
1772687435533,50000.000000,,
1772687495517,50000.000000,,
1772687566169,50000.000000,,
1772687615533,50000.000000,,
1772687675547,50000.000000,,
1772687735664,50000.000000,,
1772687795600,50000.000000,,
1772687855585,50000.000000,,
1772687915606,50000.000000,,
1772687975612,50000.000000,,
1772688035613,50000.000000,,
1772688095613,50000.000000,,
1772688155628,50000.000000,,
1772688215635,50000.000000,,
1772688275850,50000.000000,,
